4	25.38	0.1	0.09
3.8	25.26	0.1	0.09
3.6	25.1	0.1	0.09
3.4	24.87	0.1	0.08
3.2	24.66	0.1	0.08
3	24.43	0.1	0.08
2.9	24.23	0.1	0.08
2.8	24.13	0.09	0.08
2.7	24.01	0.09	0.08
2.6	23.9	0.09	0.08
2.5	23.79	0.09	0.08
2.4	23.66	0.09	0.08
2.3	23.55	0.09	0.08
2.2	23.44	0.09	0.08
2.1	23.31	0.08	0.08
2	23.16	0.08	0.08
1.9	23	0.08	0.08
1.8	22.84	0.07	0.08
1.7	22.67	0.07	0.08
1.6	22.52	0.07	0.08
1.5	22.33	0.07	0.08
1.4	22.11	0.06	0.08
1.3	21.83	0.06	0.08
1.2	21.42	0.06	0.07
1.1	20.77	0.06	0.07
1	20	0.04	0.07
0.96	19.5	0.04	0.07
0.92	19.01	0.04	0.07
0.88	18.4	0.04	0.07
0.84	17.76	0.04	0.06
0.8	17.01	0.03	0.06
0.72	15.3	0.03	0.06
0.64	13.46	0.03	0.05
0.56	11.66	0.02	0.04
0.52	10.64	0.02	0.04
0.48	9.67	0.01	0.04
0.44	8.71	0.01	0.04
0.4	7.79	0.01	0.03
0.36	6.83	0.01	0.03
0.32	5.85	0.01	0.03
0.28	4.96	0.01	0.02
0.24	4.04	0.01	0.02
0.2	3.2	0.008	0.01
0.18	2.76	0.007	0.01
0.16	2.33	0.007	0.01
0.14	1.93	0.006	0.01
0.12	1.54	0.006	0.01
0.1	1.17	0.006	0.01
0.08	0.82	0.005	0.01
0.06	0.5	0.005	0.01
0.05	0.36	0.005	0.01
